name,company,address,lat,lng,category,phone,fax,url
特別養護老人ホーム あいの郷,社会福祉法人ふれ愛事業協会,北海道札幌市北区あいの里1条6丁目1番25号,43.15548,141.4025,特養,011-790-6677,011-790-6732,https://ainosato-fureai.jp/
特別養護老人ホーム 藤苑,社会福祉法人伏古福祉会,北海道札幌市東区伏古７条３丁目１番３３号,43.08977,141.393,特養,011-781-2400,011-781-4567,http://fujizono.org/index.html
とくべつようごろうじんほーむもえれのさと,社会福祉法人孝仁会,北海道札幌市東区東雁来11条3丁目2番15号,43.09781,141.4313,特養,011-792-1666,011-792-1663,http://www.k-yuwakai.or.jp
特別養護老人ホーム セボラ・コリーナ,社会福祉法人愛和福祉会,札幌市東区北42条東19丁目1番10号,43.11453,141.3728,特養,011-784-0433,011-784-5128,http://sebora.jp/
特別養護老人ホーム 大友恵愛園,社会福祉法人 大友恵愛会,札幌市東区北17条東5丁目2番5号,43.08293,141.3593,特養,011-751-1731,011-723-0790,http://www.ootomokeiaien.or.jp/
特別養護老人ホームウィズ東苗穂,社会福祉法人シルバニア,北海道札幌市東区東苗穂町1089番1,43.10413,141.4099,特養,011-789-3001,011-789-3101,http://spsilvania.or.jp/
特別養護老人ホームフローラルさつなえ,社会福祉法人 札幌明啓院,札幌市東区東苗穂1条3丁目2番16号,43.07863,141.4015,特養,011-780-6141,011-781-2750,https://www.s-meikei.org
特別養護老人ホーム ひかりの,社会福祉法人豊生会,北海道札幌市東区東雁来12条4丁目1－15,43.09833,141.4369,特養,011-790-1400,011-790-1401,http://hikarino.or.jp/
特別養護老人ホーム神遊,社会福祉法人企救樹,北海道札幌市東区北39条東1丁目2番21号特別養護老人ホーム神遊,43.10702,141.3447,特養,011-733-1010,011-733-1011,https://kikujyu-web.com
特別養護老人ホームへいわの郷,博栄会,北海道札幌市白石区平和通１丁目南２番１号,43.05406,141.4058,特養,011-867-1555,011-867-1777,http://www.hakueikai.jp/
特別養護老人ホーム ノテきくすいの里,社会福祉法人ノテ福祉会,北海道札幌市白石区菊水元町４条１丁目1-1,43.07061,141.4032,特養,011-875-6111,011-875-6700,
特別養護老人ホームあすかＨＯＵＳＥ白石,社会福祉法人明日佳,北海道札幌市白石区中央１条5丁目1－10,43.05265,141.3966,特養,011-833-5003,011-833-5006,asuka-sw.jp
特別養護老人ホーム 白石ポプラ園,社会福祉法人 秀寿会,札幌市白石区中央1条4丁目2-6,43.05475,141.3956,特養,011-818-0010,011-818-0030,http:www.syujukai.or.jp
特別養護老人ホーム平成苑,社会福祉法人寛聖会,北海道札幌市白石区菊水元町8条2丁目7-15,43.07183,141.4143,特養,011-879-6666,011-875-3663,https://heiseien.or.jp/
特別養護老人ホームきさく苑,社会福祉法人鶴翔福祉会,札幌市白石区川下２１２８－２,43.07763,141.4473,特養,011-875-8838,011-875-8848,http://kakushou.com/
特別養護老人ホームルミエール,社会福祉法人公和会,札幌市白石区東札幌1条3丁目1－1,43.04842,141.3828,特養,011-825-2555,011-825-2558,http://www.lumiere.or.jp
特別養護老人ホームノテ幸栄の里,社会福祉法人ノテ福祉会,北海道札幌市豊平区月寒東1条13丁目4-58,43.03268,141.3911,特養,011-853-0181,011-851-3803,
特別養護老人ホーム みどりの丘,札幌光陽会,札幌市豊平区西岡５条１２丁目１番２号,42.99629,141.3825,特養,011-581-3001,011-584-3005,http://www.s-kouyoukai.jp/
特別養護老人ホーム ノテとよひらの里,社会福祉法人ノテ福祉会,札幌市豊平区豊平3条11丁目2-15,43.04679,141.3805,特養,011-820-5200,011-820-5700,http://www.note.or.jp/facilities/details/04/
アビターレナーシングホーム,社会福祉法人愛全会,札幌市豊平区平岸2条2丁目1番1号,43.04108,141.3669,特養,011-821-7000,011-821-7023,https://www.aizenkai.or.jp
特別養護老人ホームアビターレアネックス,社会福祉法人愛全会,北海道札幌市豊平区平岸2条2丁目1番10号,43.04117,141.3675,特養,011-821-7000,011-821-7023,https://www.aizenkai.or.jp/
特別養護老人ホームくりのみ,社会福祉法人桂和会,札幌市豊平区平岸8条12丁目３－２０,43.02635,141.3842,特養,011-813-8881,011-813-8900,http://keiwakai-kurinomi.or.jp/shisetu/
特別養護老人ホーム コスモス苑,社会福祉法人彩世会,札幌市豊平区月寒東4条10丁目8番30号,43.03097,141.411,特養,011-859-3311,011-859-3322,http://www.cosmosen.jp
特別養護老人ホーム ノテ中の島,社会福祉法人ノテ福祉会,北海道札幌市豊平区中の島2条5丁目5番1号,43.03102,141.3621,特養,011-376-5580,011-376-5581,https://www.note.or.jp/facilities/shisetsu/tokuyou/tokuyou-note-nakanoshima/
介護老人福祉施設月寒あさがおの郷,社会福祉法人渓仁会,札幌市豊平区月寒西1条11丁目2番35号,43.02347,141.3978,特養,011-858-3333,011-858-3355,http://www.keijinkai.com/asagao/
特別養護老人ホーム羊ヶ丘陽光苑,社会福祉法人追分あけぼの会,福住3条9丁目4番32号,43.00331,141.393,特養,011-858-1155,011-858-1150,https://o-akebono.or.jp/
特別養護老人ホームらいらっく,社会福祉法人 北志会,札幌市南区藤野4条4丁目20番30号,42.95632,141.3017,特養,011-591-9000,011-591-9100,http://www.hokushikai-lilac.com/
特別養護老人ホーム ドリームハウス,社会福祉法人前田記念福祉会,北海道札幌市南区北ノ沢1819-9,43.0089,141.3238,特養,011-572-2100,011-572-3222,http://maedakinen.org/
特別養護老人ホーム 和幸園,社会福祉法人北海道ハピニス,札幌市南区石山932番地３,42.95375,141.3379,特養,011-591-5210,011-591-5231,http://hapinisu.com
特別養護老人ホームらいらっく,社会福祉法人ノマド福祉会,札幌市南区藤野4条4丁目20番30号,42.95632,141.3017,特養,011-591-9000,011-591-9100,https://nomad-haru.com/
高齢者総合福祉施設 サン・グレイス,社会福祉法人 愛全会,札幌市南区川沿１３条３丁目５番１号,42.9783,141.3325,特養,011-571-6000,011-571-5300,http://www.aizenkai.or.jp/
特別養護老人ホームノテ石山,社会福祉法人ノテ福祉会,北海道札幌市南区石山1条6丁目17-33,42.96588,141.3259,特養,011-522-7573,011-522-7583,https://www.note.or.jp
特別養護老人ホームもなみの里,社会福祉法人勤医協福祉会,北海道札幌市南区石山1条1丁目12番15号,42.98113,141.3427,特養,011-588-1165,011-588-7780,http://kin-fukushikai.jp/
特別養護老人ホーム 手稲リハビリテーションセンター,社会福祉法人宏友会,札幌市西区宮の沢490番地,43.08517,141.2549,特養,011-663-2931,011-666-8600,http://www.kouyuukai.com
特別養護老人ホーム 西野ケアセンター,社会福祉法人宏友会,札幌市西区西野2条8丁目1-8,43.08102,141.2745,特養,011-669-6660,011-663-2559,http://www.kouyuukai.com
特別養護老人ホーム 満快のふる郷山の手,社会福祉法人桜秀会,札幌市西区山の手3条11丁目2番20号特別養護老人ホーム 満快のふる郷山の手,43.06533,141.2899,特養,011-590-0292,011-590-0293,https://ousyukai.or.jp/
特別養護老人ホーム 福井園,社会福祉法人湯らん福祉会,北海道札幌市西区福井10丁目8番3号,43.04712,141.2614,特養,011-596-0605,011-596-0608,https://www.youranfukushikai.jp/fukuien/
特別養護老人ホームさくら苑,社会福祉法人さくら会,札幌市西区発寒１７条３丁目４番３０号,43.10971,141.2944,特養,011-669-7000,011-669-6060,https://sakurakai-gp.or.jp/
特別養護老人ホームはっさむはる,社会福祉法人ノマド福祉会,札幌市西区発寒１１条１丁目３番２０号,43.09073,141.3,特養,011-662-0001,011-662-4000,http://www.nomad.or.jp
特別養護老人ホーム三陽,清恵会,北海道札幌市西区八軒５条西８丁目５番１号,43.09216,141.3024,特養,011-633-0300,011-633-0200,http://www.seikeikai.server-shared.com/san-you/
特別養護老人ホーム五天山園,社会福祉法人 西平和会,札幌市西区平和54番地3,43.05541,141.2617,特養,011-667-1133,011-667-0033,https://gotenzan.com/
特別養護老人ホーム青葉のまち,社会福祉法人札幌シニア福祉機構,札幌市厚別区青葉町15丁目18番1号,43.02695,141.4838,特養,011-891-7700,011-891-7822,http://www.hokurou.or.jp/aoba/
特別養護老人ホーム「サポーティ・もみじ台」,社会福祉法人札幌シニア福祉機構,北海道札幌市厚別区もみじ台北6丁目2-5-2,43.03509,141.4932,特養,011-897-8000,011-897-8001,http://www.hokurou.or.jp/
特別養護老人ホーム厚別栄和荘,社会福祉法人栄和会,札幌市厚別区厚別町山本７５０番地６,43.05854,141.4626,特養,011-896-2565,011-896-2566,https://www.eiwakai.or.jp/
特別養護老人ホームあつべつ南５丁目,社会福祉法人栄和会,北海道札幌市厚別区厚別南５丁目１-１０,43.02368,141.4723,特養,011-375-0526,011-375-6810,https://www.eiwakai.or.jp/
特別養護老人ホームかりぷ・あつべつ,社会福祉法人協立いつくしみの会,北海道札幌市厚別区厚別中央５条６丁目５番２０号,43.04653,141.4721,特養,011-896-1165,011-894-4404,http://www.karipu.jp/
特別養護老人ホーム 厚別園,湯らん福祉会,札幌市厚別区厚別東5条3丁目24番地9,43.04893,141.4788,特養,011-375-1050,011-375-1059,https://www.youranfukushikai.jp/
特別養護老人ホームノテ新さっぽろの里,社会福祉法人ノテ福祉会,北海道札幌市厚別区上野幌1条1丁目2-25,43.02388,141.4659,特養,011-892-2221,011-892-1171,https://www.note.or.jp/facilities/shisetsu/tokuyou/tokuyou-sinsapporonosato/
特別養護老人ホーム 光生舎 ゆいま～る・もみじ台,社会福祉法人北海道光生舎,北海道札幌市厚別区もみじ台南3丁目4番1号,43.02472,141.4949,特養,011-899-1600,011-899-1601,http://www.koseisya.or.jp/
介護老人福祉施設 手稲つむぎの杜,社会福祉法人 渓仁会,北海道札幌市手稲区前田2条10丁目1番7号,43.12083,141.2493,特養,011-685-3726,011-685-3880,http://www.keijinkai.com/tsumugi/
特別養護老人ホーム 札幌市稲寿園,社会福祉法人札幌慈啓会,北海道札幌市手稲区曙5条2丁目2-21,43.13281,141.2374,特養,011-682-2160,011-682-1751,http://www.sapporojikeikai.or.jp/toujuen
特別養護老人ホーム ていね大空,社会福祉法人 札幌蒼生会,札幌市手稲区曙11条2丁目3番10号,43.1439,141.2335,特養,011-684-5839,011-684-5813,http://www.s-souseikai.or.jp/
介護老人福祉施設 手稲ロータス,社会福祉法人手稲ロータス会,北海道札幌市手稲区稲穂3条6丁目7番5号介護老人福祉施設 手稲ロータス,43.12615,141.215,特養,011-685-8181,011-685-8182,https://teinelotuskai.com
特別養護老人ホーム 神愛園手稲,社会福祉法人 神愛園,札幌市手稲区手稲金山１３１番地４,43.12217,141.2004,特養,011-681-3092,011-681-7479,http://www.shinaien.or.jp
特別養護老人ホ－ム 愛輪園,社会福祉法人 緑誠会,札幌市手稲区西宮の沢４条３丁目3番４０号,43.1,141.2565,特養,011-683-5521,011-683-5173,http://www.tanakamedical.net
特別養護老人ホームあすかＨＯＵＳＥ手稲,社会福祉法人明日佳,北海道札幌市手稲区曙１１条１丁目７－７,43.14653,141.239,特養,011-685-8000,011-685-8600,http://asuka-sw.jp/
特別養護老人ホーム 秀寿園,社会福祉法人 秀寿会,札幌市清田区真栄３９５番地１,42.97663,141.4393,特養,011-885-7111,011-885-8029,http://www.syujyukai.or.jp/shujyuen
特別養護老人ホーム ケアタウン美しが丘,社会福祉法人秀寿会,北海道札幌市清田区真栄3条2丁目23番15号,42.98823,141.4432,特養,011-885-7100,011-885-7102,http://www.syujyukai.or.jp
特別養護老人 ノテホームふるさと,社会福祉法人ノテ福祉会,札幌市清田区真栄434番地6,42.9722,141.4324,特養,011-885-8800,011-885-5949,https://www.note.or.jp/facilities/details/02/
特別養護老人ホーム神愛園清田,社会福祉法人神愛園,北海道札幌市清田区清田6条1丁目1番30号,42.99653,141.4204,特養,011-886-6800,011-886-6802,http://www.shinaien.or.jp/
特別養護老人ホーム 桜テラス平岡,社会福祉法人ほくろう福祉協会,札幌市清田区平岡1条2丁目12-11,42.99686,141.4466,特養,011-884-0123,011-884-8751,https://s-senior.or.jp/
特別養護老人ホーム清幌園,社会福祉法人 厚仁会,北海道札幌市清田区北野７条４丁目８番２５号,43.02131,141.4435,特養,011-881-7340,011-883-1450,http://s-seikouen.or.jp
特別養護老人ホーム ひらおか梅花実,社会福祉法人栄和会,札幌市清田区平岡３条３丁目１番８号,43.00036,141.4503,特養,011-884-8886,011-884-8801,http://www.eiwakai.or.jp
特別養護老人ホ－ム恵楽園,社会福祉法人恵山恵愛会,北海道函館市柏野町１１７番地,41.79096,141.1542,特養,0138-85-2893,0138-85-2894,http://www.esan-keiaikai.com/
特別養護老人ホーム 桔梗みのりの里,社会福祉法人敬聖会,北海道函館市桔梗1丁目3番8号,41.82969,140.731,特養,0138-46-5151,0138-46-3130,http://keiseikai-h.or.jp/minorihp/index.html
特別養護老人ホームあい亀田港,社会福祉法人心侑会,北海道函館市亀田港町56番12号,41.81183,140.7218,特養,0138-62-6300,0138-62-6622,http://ai-sinyukai..jp
特別養護老人ホーム シンフォニー,社会福祉法人 禎人会,北海道函館市中野町７４－１,41.76335,140.8392,特養,0138-58-2000,0138-58-1500,https://www.behappy-symphony.com/
旭ヶ岡の家介護老人福祉施設,社会福祉法人函館カリタスの園,北海道函館市旭岡町78番地,41.8073,140.8436,特養,0138-50-2121,0138-50-2122,http://www.asahigaoka.jp/
特別養護老人ホーム おおぞら,社会福祉法人函館愛育会,北海道函館市銅山町12番地,41.79253,140.815,特養,0138-36-1100,0138-36-1103,http://oozora-tokuyou.com/
介護老人福祉施設 みなみかやべ荘,社会福祉法人函館共愛会,函館市川汲町９８６番１３,41.90178,140.9859,特養,0135-25-5300,0138-25-5874,http://minami.kyouai-kai.com
特別養護老人ホーム 百楽園,社会福祉法人函館厚生院,北海道函館市高丘町3番1号,41.78763,140.8014,特養,0138-57-7418,0138-57-7598,https://hyakuraku.koseiin.or.jp/
ももハウス,社会福祉法人函館厚生院,函館市赤川町390番地の2,41.83658,140.7696,特養,0138-47-3335,0138-47-3336,http://momo-house.koseiin.or.jp/
特別養護老人ホーム幸成園,社会福祉法人函館幸成会,函館市桔梗町４３５－２８,41.84654,140.7425,特養,0138-47-1113,0138-86-7375,http://www.kouseien.jp
特別養護老人ホーム幸成園,社会福祉法人函館幸成会,函館市桔梗町435番地28,41.84654,140.7425,特養,0138-47-1113,0138-86-7375,http://www.kouseien.jp
特別養護老人ホーム函館はくあい園,社会福祉法人函館松寿会,北海道函館市吉川町３番１６号,41.79229,140.7285,特養,0138-45-5250,0138-45-5251,http://www.h-shoujukai.com/
特別養護老人ホーム函館はくあい園,社会福祉法人函館松寿会,北海道函館市吉川町３番１６号,41.79229,140.7285,特養,0138-45-5250,0138-45-5251,http://www.h-shoujukai.com/
福寿荘さくら館,社会福祉法人 函館仁愛会,函館市石川町１８９－１９,41.83633,140.7416,特養,0138-34-7101,0138-34-7112,http://www.jinaikai.net
広域型特別養護老人ホーム ベルソーレ,社会福祉法人創生会,北海道函館市日吉町4丁目16-20広域型特別養護老人ホーム ベルソーレ,41.80546,140.7907,特養,0138-30-7777,0138-30-7778,
特別養護老人ホーム倶有,社会福祉法人函館大庚会,北海道函館市松風町19番18号,41.77353,140.7317,特養,0138-24-2255,0138-22-1125,http://www.hakodate-taikoukai.jp/
特別養護老人ホーム潮寿荘,社会福祉法人戸井福祉会,北海道函館市釜谷町６０５番地１,41.73676,140.9385,特養,0138-82-3535,0138-82-3563,http://www.hakotoi.com
社会福祉法人函館大庚会 特別養護老人ホーム 「松濤」,社会福祉法人函館大庚会,北海道函館市松風町１８番１５号,41.77317,140.7321,特養,0138-27-0077,0138-27-7007,https://www.hakodate-taikoukai.jp/
函館共愛会愛泉寮,社会福祉法人函館共愛会,北海道函館市中島町35番7号,41.78618,140.7413,特養,0138-52-1065,0138-52-1028,http://aisenryou-kyouai-kai.jp/
特別養護老人ホームはる,社会福祉法人ノマド福祉会,小樽市赤岩２丁目１８番２２号,43.2251,140.9938,特養,0134-31-2222,0134-31-2260,https://nomad-haru.com/
特別養護老人ホームやすらぎ荘,社会福祉法人小樽育成院,北海道小樽市オタモイ1丁目20番18号,43.21961,140.9589,特養,0134-28-2500,0134-26-2476,http://www.otaru-ikuseiin.com/
特別養護老人ホーム リバーサイドなんたる,社会福祉法人小樽北勉会,北海道小樽市若松２丁目８番20号,43.18221,141.0087,特養,0134-29-0015,0134-29-1855,https://www.otaru-hokubenkai.or.jp/
特別養護老人ホーム朝里温泉,社会福祉法人小樽北勉会,小樽市朝里川温泉２丁目７０８番地１,43.15052,141.0424,特養,0134-54-9001,0134-54-9005,http://www.otaru-hokubenkai.or.jp
特別養護老人ホーム東小樽,社会福祉法人小樽北勉会,北海道小樽市新光2丁目29番3号東小樽病院,43.16843,141.0529,特養,0134-52-3200,0134-52-3205,https://www.otaru-hokubenkai.or.jp/
介護老人福祉施設 特別養護老人ホーム たいせつの郷,社会福祉法人 旭川たいせつ福祉会,北海道旭川市東鷹栖２線１８号１０４５番地,43.84802,142.4445,特養,0166-58-3333,0166-58-3334,http://www.taisetsu-sato.jp
介護老人福祉施設ユニット型特別養護老人ホームたいせつの郷,社会福祉法人 旭川たいせつ福祉会,北海道旭川市東鷹栖２線１８号1045番地,43.84803,142.4446,特養,0166-58-3333,0166-58-3334,https://www.taisetsu-sato.jp/
特別養護老人ホーム共生園,社会福祉法人 旭川共生会,北海道旭川市東旭川町共栄１２３番地,43.74323,142.4286,特養,0166-33-8000,0166-33-8020,http://www.a-kyouseikai.jp/
特別養護老人ホーム 緑が丘あさひ園,社会福祉法人旭川三和会,北海道旭川市緑が丘東１条２丁目１番２１号,43.72886,142.3894,特養,0166-66-2666,0166-66-2100,http://www.asahisanwa.org/
特別養護老人ホーム旭川のなか園,旭川小泉福祉会,旭川市神居9条3丁目1番地24,43.76447,142.3218,特養,0166-62-1111,0166-61-2299,http://www.koizumi-hukushikai.or.jp/
特別養護老人ホーム 誠徳園,社会福祉法人旭川福祉事業会,旭川市末広８条６丁目５３０７番地,43.81968,142.3733,特養,0166-51-1126,0166-54-7972,http://www.a-fukushi.or.jp/
特別養護老人ホーム旭川緑苑・ユニット型特別養護老人ホーム旭川緑苑,社会福祉法人旭川緑光会,旭川市東旭川町上兵村229番地の8,43.77566,142.4512,特養,0166-36-6338,0166-36-6339,http://www.ryokkokai.com/
特別養護老人ホーム 養生の杜カムイ,社会福祉法人慶友会,北海道旭川市永山町５丁目１３６番地の１,43.78626,142.4322,特養,0166-47-7730,0166-47-7672,http://www.keiyukai-group.com/kamui/
特別養護老人ホーム敬生園,社会福祉法人敬生会,北海道旭川市末広8条6丁目5305番地,43.82137,142.3726,特養,0166-51-5115,0166-51-5116,http://www.keiseikai.ne.jp/index.html
特別養護老人ホーム宏生苑,社会福祉法人東旭川宏生会,旭川市東旭川町上兵村５５６番地４,43.76762,142.4465,特養,0166-37-3885,0166-37-3870,http://www.h-kouseikai.jp
特別養護老人ホーム永山園,社会福祉法人湯らん福祉会,旭川市永山町15丁目116番地4,43.82166,142.4626,特養,0166-48-3033,0166-40-0130,http://www.youranfukushikai.jp/nagayama/
特別養護老人ホーム末広たいせつの郷,社会福祉法人旭川たいせつ福祉会,北海道旭川市末広東1条13丁目2番34号,43.81488,142.4049,特養,0166-58-5566,0166-58-5568,http://www.taisetsu-sato.jp/
特別養護老人ホーム旭川ねむのきの華,社会福祉法人旭川ねむのき会,北海道旭川市忠和4条2丁目10番23号,43.781,142.3107,特養,0166-61-3277,0166-61-3288,http://nemunokikai.hjk.ne.jp/
特別養護老人ホーム共生園Ⅲ,社会福祉法人 旭川共生会,北海道旭川市東旭川町共栄123番地,43.74323,142.4286,特養,0166-33-8000,0166-33-8020,http://www.a-kyouseikai.jp/
特別養護老人ホーム楽生園,社会福祉法人楽生会,北海道旭川市1条通12丁目177番2,43.76345,142.3653,特養,0166-27-0070,0166-27-0033,https://rakuseikai.org/
特別養護老人ホーム 仁慈苑,社会福祉法人慶友会,旭川市神楽3条12丁目1番8号,43.75307,142.3588,特養,0166-63-8700,0166-63-8701,http://www.keiyukai-group.com/jinshien/
特別養護老人ホームエテルナ,社会福祉法人寿光会,北海道旭川市近文町13丁目2916番地２,43.78352,142.3342,特養,0166-85-7875,0166-55-3800,http://www.jukoukai.net/
特別養護老人ホーム愛善園,社会福祉法人愛善会,北海道旭川市春光台４条１１丁目５２４９番地の１０,43.83107,142.3716,特養,0166-52-8118,0166-52-8102,http://aizenkai-swc.jp/
特別養護老人ホーム エンルムハイツ,社会福祉法人 室蘭福祉事業協会,室蘭市祝津町３丁目１６番３２号,42.33349,140.9434,特養,0143-27-5577,0143-27-5570,http://muroran-fukushi.com/
特別養護老人ホーム白鳥ハイツ,社会福祉法人室蘭福祉事業協会,北海道室蘭市白鳥台４丁目８番１号,42.38294,140.9472,特養,0143-59-3033,0143-59-0088,http://muroran-fukushi.com/
ユニット型特別養護老人ホームエンルムハイツ,社会福祉法人 室蘭福祉事業協会,室蘭市祝津町３丁目１６番３２号,42.33349,140.9434,特養,0143-27-5577,0143-27-5566,http://muroran-fukushi.com/
特別養護老人ホームみたらの杜,社会福祉法人幸清会,北海道室蘭市絵鞆町２丁目２２番地１,42.33449,140.9352,特養,0143-26-2700,0143-27-2411,http://www.koseikai-wel.or.jp
特別養護老人ホーム釧路鶴ヶ岱啓生園,社会福祉法人釧路啓生会,北海道釧路市鶴ヶ岱２丁目２番５号,42.97727,144.4019,特養,0154-41-1123,0154-41-1124,http://www.k-keisei.or.jp
社会福祉法人釧路啓生会 釧路昭和啓生園,社会福祉法人釧路啓生会,北海道釧路市昭和南５丁目２３番１号,43.02206,144.3519,特養,0154-51-5541,0154-51-3193,http://www.k-keisei.or.jp
特別養護老人ホーム釧路北園啓生園,社会福祉法人釧路啓生会,釧路市北園１丁目１番２７号,43.02238,144.3411,特養,0154-55-5252,0154-55-5251,http://www.k-keisei.or.jp
特別養護老人ホームはるとりの里,社会福祉法人釧路創生会,釧路市春採７丁目９番７号,42.97813,144.4188,特養,0154-47-2300,0154-46-7553,http://www.kushiro-souseikai.com
特別養護老人ホームさくらの里,社会福祉法人釧路創生会,北海道釧路市桜ヶ岡４丁目１４番１０号,42.96391,144.425,特養,0154-92-2151,0154-91-5831,http://www.kushiro-souseikai.com
特別養護老人ホームきんれんかの里,社会福祉法人孝仁会,北海道釧路市愛国191番5711,43.02773,144.3976,特養,0154-38-8222,0154-38-8228,http://www.k-yuwakai.or.jp
特別養護老人ホームぬさまい,社会福祉法人扶躬会,北海道釧路市幣舞町4番7号,42.97885,144.3868,特養,0154-41-2233,0154-41-2230,https://www.shafuku-fukyukai.or.jp/
特別養護老人ホーム百花苑,社会福祉法人 夕秀会,釧路市昭和190番地4521,43.03275,144.3543,特養,0154-55-1165,0154-55-6577,http://www.hjg.jp
特別養護老人ホームえぞりんどうの里,社会福祉法人孝仁会,北海道釧路市音別町中園２丁目１１８番５,42.89361,143.9287,特養,01547-9-5011,01547-6-3588,http://www.k-yuwakai.or.jp/
特別養護老人ホーム鶴の園,社会福祉法人扶躬会,北海道釧路市阿寒町富士見2丁目5番10号,43.10689,144.1199,特養,0154-66-1010,0154-66-1011,https://www.shafuku-fukyukai.or.jp/
特別養護老人ホーム 武佐の里,社会福祉法人 釧路愛育協会,北海道釧路市武佐4丁目28番10号,42.98623,144.4315,特養,0154-46-8170,0154-46-8171,http://musanosato.jp
特別養護老人ホーム 帯広けいせい苑,社会福祉法人慧誠会,北海道帯広市川西町西１線４７番地３,42.85508,143.178,特養,0155-59-2952,0155-59-2955,http://www.keiseien.or.jp
特別養護老人ホーム帯広けいせい苑ユニット型,社会福祉法人慧誠会,北海道帯広市川西町西1線47番地３,42.85508,143.178,特養,0155-59-2952,0155-59-2955,http://www.keiseien.or.jp
特別養護老人ホーム帯広慈恩の里,社会福祉法人真宗協会,北海道帯広市空港南町３０３番地１,42.87653,143.1628,特養,0155-49-2800,0155-49-2815,http://www.shinsyukyoukai.jp/
特別養護老人ホーム 帯広至心寮,社会福祉法人 真宗協会,北海道帯広市西5条南30丁目14番地,42.89694,143.2011,特養,0155-24-9572,0155-24-5561,http://shinsyukyoukai.jp/
